ix,iy,iz,zkey
-31,-10,-1,INCLUDED_LOWDATA
-31,-9,-1,INCLUDED_LOWDATA
-31,-8,-1,INCLUDED_LOWDATA
-31,-7,-1,INCLUDED_LOWDATA
-31,-6,-1,INCLUDED_LOWDATA
-31,-5,-1,INCLUDED_LOWDATA
-31,-4,-1,INCLUDED_LOWDATA
-31,-3,-1,INCLUDED_LOWDATA
-31,-2,-1,INCLUDED_LOWDATA
-31,-1,-2,INCLUDED_OPEN
-31,-1,-1,INCLUDED_OPEN
-31,-1,0,INCLUDED_OPEN
-31,-1,1,INCLUDED_OPEN
-31,-1,2,INCLUDED_OPEN
-31,-1,3,INCLUDED_OPEN
-31,-1,4,INCLUDED_OPEN
-31,-1,5,INCLUDED_OPEN
-31,-1,6,INCLUDED_OPEN
-31,-1,7,INCLUDED_LOWDATA
-31,0,-2,INCLUDED_OPEN
-31,0,-1,INCLUDED_OPEN
-31,0,0,INCLUDED_OPEN
-31,0,1,INCLUDED_OPEN
-31,0,2,INCLUDED_OPEN
-31,0,3,INCLUDED_OPEN
-31,0,4,INCLUDED_OPEN
-31,0,5,INCLUDED_OPEN
-31,0,6,INCLUDED_OPEN
-31,1,-2,constrained-misc
-31,1,-1,INCLUDED_OPEN
-31,1,0,INCLUDED_OPEN
-31,1,1,INCLUDED_OPEN
-31,1,2,INCLUDED_OPEN
-31,1,3,INCLUDED_OPEN
-31,1,4,INCLUDED_OPEN
-31,1,5,INCLUDED_OPEN
-31,1,6,INCLUDED_OPEN
-31,2,-1,INCLUDED_OPEN
-31,2,0,INCLUDED_OPEN
-31,2,1,INCLUDED_OPEN
-31,2,2,INCLUDED_OPEN
-31,2,3,INCLUDED_OPEN
-31,2,4,INCLUDED_OPEN
-31,2,5,INCLUDED_OPEN
-31,2,6,INCLUDED_OPEN
-31,3,-1,INCLUDED_OPEN
-31,3,0,INCLUDED_OPEN
-31,3,1,INCLUDED_OPEN
-31,3,2,INCLUDED_OPEN
-31,3,3,INCLUDED_OPEN
-31,3,4,INCLUDED_OPEN
-31,3,5,INCLUDED_OPEN
-31,3,6,INCLUDED_OPEN
-31,3,7,INCLUDED_LOWDATA
